session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	29	93.2	81.2	n/a	20240213
ses-2	P35	36	133.9	73.3	n/a	20240220
ses-3	P49	50	181.8	58.4	n/a	20240305
ses-4	P70	71	218.8	53.5	n/a	20240326
ses-5	P91	92	239.9	72	n/a	20240416
