session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	28	71.8	68.2	n/a	20230929
ses-2	P35	35	109.3	120.4	n/a	20231006
ses-3	P49	49	175.2	63.4	n/a	20231020
ses-4	P70	74	263.8	n/a	n/a	20231114
ses-5	P91	91	299.2	81.8	n/a	20231201
