session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	29	77.5	86	n/a	20240212
ses-2	P35	36	111.6	84.2	n/a	20240219
ses-3	P49	50	158.1	62.7	n/a	20240304
ses-4	P70	71	197.9	53	n/a	20240325
ses-5	P91	92	218.8	79.6	n/a	20240415
