session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	28	81	74.6	n/a	20230929
ses-2	P35	35	123.8	76.7	n/a	20231006
ses-3	P49	49	200.4	80.6	n/a	20231020
ses-4	P70	74	291.3	105.9	n/a	20231114
ses-5	P91	91	320.6	97.7	n/a	20231201
