session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	28	75.8	100.8	n/a	20240313
ses-2	P35	35	113	92.8	n/a	20240320
ses-3	P49	49	158	81.4	n/a	20240403
ses-4	P70	70	195.8	65.4	n/a	20240424
ses-5	P91	91	205.8	66.8	n/a	20240515
