	mov1	mov2	mov3	rot1	rot2	rot3	mov1_der	mov2_der	mov3_der	rot1_der	rot2_der	rot3_der	mov1^2	mov2^2	mov3^2	rot1^2	rot2^2	rot3^2	mov1_der^2	mov2_der^2	mov3_der^2	rot1_der^2	rot2_der^2	rot3_der^2
0	-0.0055788718777924	0.008899242333891	-0.0155391640300107	-0.0002399130963852	-1.46232798125493e-05	-5.81799357668375e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.11238114288229e-05	7.919651411731773e-05	0.00024146561875157838	5.755829381713426e-08	2.1384031247611188e-10	3.3849049258333374e-09	0.0	0.0	0.0	0.0	0.0	0.0
1	-0.0071669011390098	0.0089574698285914	-0.0310832900871833	-0.0003798567920313	-3.72481388179247e-05	3.70944765692106e-05	-0.0015880292612173996	5.8227494700399673e-05	-0.015544126057172598	-0.0001399436956461	-2.26248590053754e-05	9.52744123360481e-05	5.136447193633997e-05	8.023626573012524e-05	0.0009661709226439875	1.442911824523103e-07	1.3874238453993887e-09	1.3760001919437144e-09	2.52183693448268e-06	3.390441139085072e-09	0.00024161985488127215	1.958423795108827e-08	5.118842450131163e-10	9.077213645979315e-09
2	-0.008168938649888	0.0114803194226376	-0.019763288568695	-0.0002262780886419	4.36613371230305e-05	-0.0001113250484739	-0.0010020375108781999	0.0025228495940462	0.011320001518488297	0.0001535787033894	8.09094759409552e-05	-0.0001484195250431106	6.673155866563397e-05	0.0001317977340457901	0.0003905875750495105	5.1201773399431556e-08	1.9063123593709213e-09	1.2393266417716187e-08	1.0040791732069786e-06	6.3647700741790764e-06	0.00012814243437857736	2.3586418134769302e-08	6.546343297040009e-09	2.2028355414022536e-08
3	-0.0011576782708834	0.013920880837011	-0.0279390929828937	-0.000827293402277	0.000219365352978	3.78435580646184e-05	0.0070112603790046	0.002440561414373401	-0.008175804414198698	-0.0006010153136351	0.00017570401585496952	0.0001491686065385184	1.340218978875579e-06	0.0001937909232782601	0.0007805929167067799	6.844143734510542e-07	4.812115808716254e-08	1.4321348869901443e-09	4.915777210219973e-05	5.956340017328295e-06	6.684377781923091e-05	3.612194072238976e-07	3.087190118756338e-08	2.225127317664331e-08
4	-0.0027412551898276	0.010900899561613	-0.028565039046829	-0.0002005876216188	6.08910563827386e-05	-5.5519014556377e-05	-0.0015835769189442	-0.003019981275398001	-0.0006259460639353003	0.0006267057806582	-0.0001584742965952614	-9.33625726209954e-05	7.514480015756751e-06	0.00011882961125237449	0.0008159614557468654	4.023539394668688e-08	3.7077207474058507e-09	3.0823609773112014e-09	2.5077158582128055e-06	9.120286903754537e-06	3.91808474956095e-07	3.9276013551040383e-07	2.511410268136288e-08	8.71656996641064e-09
5	-0.0041729844158805	0.0071274575177047	-0.0244596945155206	-0.000444037624636	6.39900117669901e-05	-2.05686641879372e-05	-0.0014317292260529004	-0.0037734420439083	0.0041053445313084	-0.00024345000301719997	3.098955384251498e-06	3.4950350368439796e-05	1.7413798935181522e-05	5.080065066668524e-05	0.0005982766557925884	1.9716941209238122e-07	4.094721605939531e-09	4.230699464761303e-10	2.0498485767340373e-06	1.4238864858734848e-05	1.685385372074379e-05	5.9267903969074676e-08	9.603524473581349e-12	1.2215269908766998e-09
6	-0.0064006383798038	0.0196687269178281	-0.0281358193482471	-0.000188385830942	0.0002431107938547	-0.0001303465557333	-0.0022276539639232993	0.0125412694001234	-0.0036761248327265017	0.000255651793694	0.0001791207820877099	-0.0001097778915453628	4.096817166901741e-05	0.00038685881856809565	0.0007916243303971959	3.548922129970781e-08	5.910285808866244e-08	1.6990224591534284e-08	4.962442182983188e-06	0.00015728343816647156	1.351389378578845e-05	6.535783961895953e-08	3.2084254575712855e-08	1.2051185472145435e-08
7	-0.0076694700557362	0.0074861075401928	-0.0218043986720999	-0.0006719992934354	6.83778794491857e-05	-3.41017023803918e-05	-0.0012688316759324	-0.0121826193776353	0.0063314206761472015	-0.00048361346249339995	-0.00017473291440551429	9.624485335290819e-05	5.882077093583423e-05	5.604180610333149e-05	0.00047543180145187184	4.5158305037767677e-07	4.675534397967373e-09	1.16292610524082e-09	1.6099338218494233e-06	0.0001484162149003351	4.008688777834429e-05	2.3388198110485515e-07	3.0531591376644784e-08	9.263071796922803e-09
8	-0.0040963039641112	0.0117039092359732	-0.0294442676673939	-0.0001990303528667	-1.19021504072922e-06	5.60496176854407e-05	0.003573166091625	0.0042178016957804	-0.007639868995294001	0.00047296894056869995	-6.956809448991492e-05	9.015132006583249e-05	1.677970616639313e-05	0.00013698149140389877	0.0008669648984691379	3.961308136224312e-08	1.4166118431780587e-12	3.1415596426840664e-09	1.2767515918338678e-05	1.7789851144928015e-05	5.836759826525457e-05	2.2369961874267842e-07	4.8397197709577316e-09	8.127260509612172e-09
9	-0.0070370976893133	0.0057638223443616	-0.021624139559205	-0.0003976873661377	-1.11067169297695e-05	-4.79470105134206e-05	-0.0029407937252021003	-0.0059400868916115995	0.007820128108188901	-0.000198657013271	-9.91650188904028e-06	-0.0001039966281988613	4.952074388893859e-05	3.322164801736205e-05	0.00046760341167597453	1.5815524118554106e-07	1.2335916095802842e-10	2.2989158171740654e-09	8.648267734188046e-06	3.528463227989595e-05	6.115440362848612e-05	3.946460892175427e-08	9.833700971533943e-11	1.0815298676732192e-08
