session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	29	94.2	90.1	n/a	20240213
ses-2	P35	36	140.8	100.4	n/a	20240220
ses-3	P49	49	224.2	78.7	n/a	20240304
ses-4	P70	71	336.5	79.7	n/a	20240326
ses-5	P91	92	409.9	88.1	n/a	20240416
