session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	29	78.9	69.9	n/a	20240213
ses-2	P35	36	114.6	78.9	n/a	20240220
ses-3	P49	50	152.2	63.8	n/a	20240305
ses-4	P70	71	186.6	61.7	n/a	20240326
ses-5	P91	92	209	68.9	n/a	20240416
