session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	30	92.5	74.7	n/a	20230906
ses-2	P35	35	115.7	n/a	n/a	20230911
ses-3	P49	50	159.8	n/a	n/a	20230926
ses-4	P70	70	195.8	62.4	n/a	20231016
ses-5	P91	90	211.9	62.3	n/a	20231105
