session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	28	84	100.5	n/a	20240313
ses-2	P35	35	129	82.9	n/a	20240320
ses-3	P49	49	219.9	90	n/a	20240403
ses-4	P70	70	321.4	91.3	n/a	20240424
ses-5	P91	91	376.6	101.2	n/a	20240515
