session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	28	84.7	94.9	n/a	20240313
ses-2	P35	35	134.8	91.9	n/a	20240320
ses-3	P49	49	219.3	107	n/a	20240403
ses-4	P70	70	312.6	82.8	n/a	20240424
ses-5	P91	91	369.4	95.1	n/a	20240515
