session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	28	89.9	86.2	n/a	20230929
ses-2	P35	35	141.7	77.1	n/a	20231006
ses-3	P49	49	233	n/a	n/a	20231020
ses-4	P70	74	338.2	84.3	n/a	20231114
ses-5	P91	91	371.4	82.9	n/a	20231201
