session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	28	86.3	74.6	n/a	20230929
ses-2	P35	35	133.9	80.1	n/a	20231006
ses-3	P49	49	219.3	87.4	n/a	20231020
ses-4	P70	74	347	n/a	n/a	20231114
ses-5	P91	91	382.8	91.4	n/a	20231201
