session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	28	86	74.6	n/a	20230929
ses-2	P35	35	120.3	77.2	n/a	20231006
ses-3	P49	49	159.7	84.4	n/a	20231020
ses-4	P70	74	199	78.9	n/a	20231114
ses-5	P91	91	203.4	87.5	n/a	20231201
