session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	28	76	87.4	n/a	20240313
ses-2	P35	35	110	63.5	n/a	20240320
ses-3	P49	49	142.5	79.6	n/a	20240403
ses-4	P70	70	173	57.4	n/a	20240424
ses-5	P91	91	193.3	84.1	n/a	20240515
