session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-2	P35	35	108.9	90.2	n/a	20230908
ses-3	P49	52	164.2	80.1	n/a	20230925
ses-4	P70	70	189.9	79.5	n/a	20231013
ses-5	P91	90	207.2	91.9	n/a	20231102
