session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	31	101.7	88.1	n/a	20230904
ses-2	P35	35	127.3	69.8	n/a	20230908
ses-3	P49	52	245.2	84.5	n/a	20230925
ses-4	P70	70	326.7	92.5	n/a	20231013
ses-5	P91	90	376.9	87.3	n/a	20231102
