session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	31	87.4	79.5	n/a	20230904
ses-2	P35	35	110.2	81.9	n/a	20230908
ses-3	P49	52	170.9	61.7	n/a	20230925
ses-4	P70	70	192.9	58.9	n/a	20231013
ses-5	P91	90	206.8	68.2	n/a	20231102
