session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	29	72.1	102.3	n/a	20240212
ses-2	P35	36	114.7	76.8	n/a	20240219
ses-3	P49	50	195.5	61.9	n/a	20240304
ses-4	P70	71	297.6	75.7	n/a	20240325
ses-5	P91	92	356.7	84.8	n/a	20240415
