session_id	target_age_group	age_days	weight_g	respiration_bpm	comment	scan_date
ses-1	P28	29	74.6	91	n/a	20240212
ses-2	P35	36	113.5	77.8	n/a	20240219
ses-3	P49	50	163.1	60.7	n/a	20240304
ses-4	P70	71	217.4	63.7	n/a	20240325
ses-5	P91	92	237.9	62.7	n/a	20240415
